ax,ay,az,prob1,prob2,prob3,movementLabel,infer_time
-3.2465,-1.1748,-1.2311,0.3228,0.3485,0.3286,jalar,0.0
-3.0073,-1.3003,-1.2448,0.3228,0.3485,0.3286,jalar,0.0
-2.6201,-1.4829,-1.1171,0.3228,0.3485,0.3286,jalar,0.0
-2.4073,-1.7151,-0.9888,0.3228,0.3485,0.3286,jalar,0.0
-2.1335,-1.9506,-0.902,0.3228,0.3485,0.3286,jalar,0.0
-1.7439,-2.0349,-0.9022,0.3228,0.3485,0.3286,jalar,0.0
-1.2793,-1.9321,-0.9701,0.3228,0.3485,0.3286,jalar,0.0
-0.9408,-1.6731,-0.9973,0.3228,0.3485,0.3286,jalar,0.0
-0.6984,-1.3516,-0.9047,0.3228,0.3485,0.3286,jalar,0.0
-0.4812,-0.9829,-0.7112,0.3228,0.3485,0.3286,jalar,0.0
-0.224,-0.6021,-0.4982,0.3228,0.3485,0.3286,jalar,0.0
0.0065,-0.3495,-0.3624,0.3228,0.3485,0.3286,jalar,0.0
0.1666,-0.2467,-0.3502,0.3228,0.3485,0.3286,jalar,0.0
0.2854,-0.2533,-0.4231,0.3228,0.3485,0.3286,jalar,0.0
0.4136,-0.2791,-0.4989,0.3228,0.3485,0.3286,jalar,0.0
0.5037,-0.3329,-0.5439,0.3228,0.3485,0.3286,jalar,0.0
0.5782,-0.4362,-0.5787,0.3228,0.3485,0.3286,jalar,0.0
0.6819,-0.4583,-0.5643,0.3228,0.3485,0.3286,jalar,0.0
0.8064,-0.3983,-0.5291,0.3228,0.3485,0.3286,jalar,0.0
0.8899,-0.3346,-0.473,0.3228,0.3485,0.3286,jalar,0.0
0.9338,-0.3524,-0.4025,0.3228,0.3485,0.3286,jalar,0.0
0.9226,-0.3461,-0.3354,0.3228,0.3485,0.3286,jalar,0.0
0.9487,-0.3599,-0.2847,0.3228,0.3485,0.3286,jalar,0.0
0.9465,-0.4454,-0.2583,0.3228,0.3485,0.3286,jalar,0.0
0.9041,-0.5366,-0.203,0.3228,0.3485,0.3286,jalar,0.0
0.9178,-0.5819,-0.1392,0.3228,0.3485,0.3286,jalar,0.0
0.9615,-0.6171,-0.074,0.3228,0.3485,0.3286,jalar,0.0
0.9717,-0.686,-0.0494,0.3228,0.3485,0.3286,jalar,0.0
0.9731,-0.7966,-0.0723,0.3228,0.3485,0.3286,jalar,0.0
0.9338,-0.9114,-0.1414,0.3228,0.3485,0.3286,jalar,0.0
0.8817,-0.9626,-0.1737,0.3228,0.3485,0.3286,jalar,0.0
0.8684,-0.957,-0.198,0.3228,0.3485,0.3286,jalar,0.0
0.8208,-0.9136,-0.2189,0.3228,0.3485,0.3286,jalar,0.0
0.7537,-0.8784,-0.2386,0.3228,0.3485,0.3286,jalar,0.0
0.7153,-0.8372,-0.2432,0.3228,0.3485,0.3286,jalar,0.0
0.6968,-0.788,-0.1896,0.3228,0.3485,0.3286,jalar,0.0
0.6129,-0.7053,-0.23,0.3228,0.3485,0.3286,jalar,0.0
0.5177,-0.6672,-0.2645,0.3228,0.3485,0.3286,jalar,0.0
0.509,-0.6742,-0.2792,0.3228,0.3485,0.3286,jalar,0.0
0.5676,-0.7411,-0.2654,0.3228,0.3485,0.3286,jalar,0.0
0.6226,-0.8572,-0.2133,0.3228,0.3485,0.3286,jalar,0.0
0.6194,-0.9724,-0.1587,0.3228,0.3485,0.3286,jalar,0.0
0.62,-1.0292,-0.1296,0.3228,0.3485,0.3286,jalar,0.0
0.6572,-1.0518,-0.1107,0.3228,0.3485,0.3286,jalar,0.0
0.6665,-1.0469,-0.0952,0.3228,0.3485,0.3286,jalar,0.0
0.6372,-1.0171,-0.0499,0.3228,0.3485,0.3286,jalar,0.0
