ax,ay,az
0.2,-1.34,0.55
0.54,-2.48,0.81
0.86,-3.79,1.14
0.88,-4.0,1.77
0.71,-4.0,1.09
0.59,-2.5,0.09
0.45,-0.13,-0.13
0.42,1.57,-0.15
0.43,3.29,-0.54
0.44,3.65,-0.58
0.22,3.3,-0.06
0.2,2.64,0.37
0.02,0.9,0.88
-0.03,0.0,0.98
-0.22,-1.54,0.95
-0.31,-2.07,0.9
-0.43,-2.32,0.73
-0.45,-2.16,0.63
-0.47,-1.61,0.44
-0.44,-1.34,0.35
-0.33,-0.84,0.21
-0.26,-0.65,0.22
-0.21,-0.48,0.31
-0.2,-0.46,0.33
-0.19,-0.43,0.34
-0.18,-0.42,0.37
-0.18,-0.4,0.47
-0.18,-0.4,0.51
-0.2,-0.41,0.56
-0.23,-0.41,0.56
-0.27,-0.4,0.54
-0.3,-0.39,0.52
-0.32,-0.42,0.49
-0.32,-0.46,0.45
-0.31,-0.65,0.43
-0.3,-0.76,0.41
-0.28,-0.87,0.37
-0.29,-0.87,0.37
-0.28,-0.85,0.38
-0.29,-0.78,0.4
-0.29,-0.73,0.39
-0.28,-0.63,0.35
-0.26,-0.6,0.33
-0.21,-0.59,0.31
-0.18,-0.62,0.31
-0.13,-0.68,0.31
-0.12,-0.69,0.32
-0.1,-0.69,0.35
-0.1,-0.66,0.36
-0.07,-0.66,0.41
-0.04,-0.7,0.43
-0.01,-0.78,0.45
0.01,-0.82,0.45
0.02,-0.96,0.46
0.02,-1.0,0.47
0.01,-1.02,0.5
0.02,-1.0,0.5
0.03,-0.99,0.52
0.04,-1.03,0.54
0.06,-1.11,0.58
0.07,-1.13,0.59
0.09,-1.19,0.63
0.09,-1.21,0.65
0.1,-1.23,0.67
0.09,-1.22,0.68
0.09,-1.19,0.69
0.08,-1.15,0.69
0.07,-1.04,0.67
0.05,-1.03,0.65
0.04,-1.01,0.63
0.03,-1.02,0.58
0.02,-1.05,0.55
0.02,-1.09,0.49
0.02,-1.09,0.48
0.01,-1.06,0.48
0.01,-1.04,0.46
0.01,-1.01,0.43
0.0,-1.0,0.41
-0.01,-0.99,0.37
-0.02,-0.98,0.37
-0.01,-1.0,0.39
-0.0,-1.06,0.41
0.06,-1.54,0.46
0.16,-2.19,0.58
1.05,-4.0,1.52
1.24,-4.0,2.47
0.42,-4.0,1.09
0.71,-3.36,0.38
0.89,-0.07,0.3
1.13,1.35,0.26
0.84,3.35,-0.36
0.66,4.0,-0.62
0.5,4.0,0.01
0.29,3.62,0.32
0.03,1.62,0.41
-0.1,0.38,0.4
-0.27,-1.84,0.38
-0.36,-2.37,0.4
-0.49,-2.44,0.57
-0.58,-2.19,0.63
