ax,ay,az
0.53,-2.35,-0.05
0.74,-2.84,-0.0
0.98,-3.37,0.89
0.98,-3.49,1.67
1.24,-3.03,2.48
1.34,-2.54,2.05
0.86,-1.42,1.11
0.64,-0.59,0.54
0.2,1.38,-0.82
0.21,-1.48,0.04
0.2,-1.48,0.01
0.15,-1.45,-0.1
0.14,-1.39,-0.13
0.09,-1.24,-0.17
0.08,-1.16,-0.18
0.06,-1.06,-0.16
0.05,-1.02,-0.17
0.03,-0.98,-0.18
0.03,-0.99,-0.17
0.01,-1.02,-0.21
0.02,-1.06,-0.22
0.02,-1.16,-0.23
0.03,-1.2,-0.25
0.04,-1.21,-0.27
0.04,-1.2,-0.26
0.04,-1.17,-0.24
0.04,-1.14,-0.24
0.05,-1.08,-0.22
0.07,-1.06,-0.19
0.07,-1.01,-0.17
0.08,-0.98,-0.14
0.09,-0.97,-0.12
0.1,-0.95,-0.12
0.1,-0.96,-0.1
0.1,-0.97,-0.14
0.1,-0.97,-0.16
0.1,-0.95,-0.16
0.1,-0.95,-0.15
0.11,-0.97,-0.14
0.11,-0.99,-0.13
0.11,-0.98,-0.12
0.11,-0.98,-0.12
0.12,-0.97,-0.12
0.13,-0.97,-0.12
0.13,-0.97,-0.14
0.16,-0.54,0.91
0.19,-0.49,0.87
0.19,-0.43,0.86
0.21,-0.34,0.82
0.23,-0.33,0.84
0.32,-0.37,0.92
0.34,-0.4,0.99
0.33,-0.5,1.02
0.53,0.46,0.6
0.53,0.49,0.63
0.53,0.52,0.63
0.53,0.55,0.59
0.52,0.57,0.61
0.52,0.58,0.61
0.52,0.6,0.6
0.52,0.59,0.62
0.53,0.57,0.65
0.53,0.56,0.66
0.54,0.54,0.68
0.55,0.52,0.68
0.53,0.5,0.63
0.53,0.5,0.63
0.52,0.52,0.64
0.52,0.53,0.63
0.52,0.54,0.61
0.52,0.55,0.62
0.53,0.57,0.61
0.52,0.58,0.6
0.53,0.56,0.6
0.52,0.55,0.6
0.52,0.52,0.59
0.52,0.51,0.61
0.52,0.51,0.61
0.51,0.51,0.62
0.52,0.51,0.62
0.52,0.5,0.63
0.51,0.5,0.61
0.51,0.5,0.61
0.51,0.49,0.61
0.51,0.49,0.62
0.51,0.47,0.61
0.5,0.47,0.61
0.5,0.47,0.59
0.5,0.47,0.58
0.5,0.46,0.63
0.49,0.34,0.65
0.48,0.21,0.68
0.54,-0.47,0.95
0.6,-1.22,1.28
0.84,-3.12,2.12
0.71,-4.0,2.37
1.3,-4.0,1.82
1.76,-4.0,1.31
2.7,-2.39,0.32
2.9,-0.47,0.33
