ax,ay,az
0.53,-2.35,-0.05
0.74,-2.84,-0.0
0.98,-3.37,0.89
0.98,-3.49,1.67
1.24,-3.03,2.48
1.34,-2.54,2.05
0.86,-1.42,1.11
0.64,-0.59,0.54
0.2,1.38,-0.82
-0.23,2.21,-1.3
-0.63,2.78,-1.72
-0.44,2.52,-1.49
-0.24,1.71,-0.84
-0.13,1.24,-0.53
0.07,0.21,0.02
0.12,-0.32,0.48
0.48,-1.4,1.39
0.71,-1.82,1.67
0.72,-2.03,1.47
0.43,-1.99,1.25
0.06,-1.61,0.78
0.04,-1.39,0.57
0.01,-1.23,0.23
-0.15,-0.99,0.08
-0.25,-0.94,-0.02
-0.14,-0.99,0.08
0.02,-1.0,0.15
0.14,-1.0,0.22
0.16,-0.98,0.24
0.16,-0.95,0.24
0.14,-0.93,0.25
0.16,-0.93,0.3
0.15,-0.94,0.32
0.18,-0.9,0.33
0.15,-0.89,0.31
0.12,-0.89,0.29
0.11,-0.88,0.28
0.11,-0.88,0.27
0.11,-0.86,0.28
0.12,-0.82,0.33
0.18,-0.83,0.35
0.18,-0.83,0.36
0.17,-0.84,0.35
0.15,-0.86,0.33
0.18,-0.83,0.32
0.19,-0.76,0.35
0.19,-0.72,0.4
0.18,-0.61,0.45
0.18,-0.6,0.43
0.17,-0.68,0.42
0.15,-0.73,0.39
0.14,-0.71,0.41
0.18,-0.69,0.43
0.21,-0.7,0.44
0.27,-0.71,0.45
0.27,-0.73,0.48
0.3,-0.83,0.48
0.32,-0.89,0.48
0.32,-1.0,0.41
0.3,-1.0,0.37
0.29,-0.98,0.37
0.29,-0.96,0.41
0.28,-0.89,0.53
0.33,-0.85,0.62
0.45,-0.82,0.77
0.46,-0.85,0.79
0.45,-0.78,0.83
0.41,-0.73,0.83
0.36,-0.64,0.83
0.35,-0.58,0.83
0.35,-0.54,0.83
0.37,-0.57,0.85
0.38,-0.64,0.84
0.38,-0.66,0.83
0.36,-0.71,0.75
0.35,-0.7,0.72
0.31,-0.67,0.68
0.31,-0.65,0.65
0.3,-0.62,0.63
0.31,-0.63,0.64
0.35,-0.74,0.69
0.38,-0.88,0.69
0.51,-1.46,0.68
0.63,-1.97,0.66
0.67,-2.79,0.8
0.53,-3.79,1.19
0.64,-3.77,1.6
1.01,-2.87,1.53
0.96,-1.93,1.27
0.55,0.23,0.81
0.33,1.04,0.68
0.09,1.7,0.43
-0.03,1.6,0.43
-0.08,1.4,0.45
0.04,1.17,0.31
0.16,0.6,0.18
0.06,0.42,0.35
0.11,0.17,0.66
0.15,0.01,0.75
0.19,-0.31,0.87
