ax,ay,az
-0.07,-0.8,-0.03
-0.06,-0.82,-0.01
-0.08,-0.83,0.01
-0.07,-0.93,0.06
-0.02,-0.99,0.08
0.05,-1.06,0.17
-0.01,-1.06,0.18
-0.03,-0.99,0.12
-0.03,-0.96,0.1
-0.01,-0.94,0.05
-0.01,-0.94,0.0
-0.01,-0.87,-0.02
-0.0,-0.84,-0.01
0.02,-0.86,0.04
0.04,-0.88,0.08
0.08,-0.92,0.13
0.1,-0.93,0.14
0.19,-1.01,0.04
0.18,-0.99,0.01
0.09,-0.83,0.06
0.1,-0.79,0.09
0.15,-0.87,0.19
0.17,-0.92,0.2
0.23,-1.04,0.15
0.26,-1.1,0.07
0.26,-1.12,-0.04
0.26,-1.12,-0.06
0.28,-1.11,-0.11
0.27,-1.1,-0.13
0.26,-1.07,-0.17
0.29,-1.07,-0.2
0.23,-1.07,-0.21
0.27,-1.08,-0.25
0.29,-1.1,-0.25
0.3,-1.1,-0.25
0.3,-1.1,-0.25
0.29,-1.1,-0.23
0.26,-1.09,-0.23
0.22,-1.06,-0.19
0.22,-1.05,-0.16
0.25,-1.04,-0.1
0.27,-1.05,-0.07
0.28,-1.05,-0.03
0.27,-1.05,-0.02
0.26,-1.06,-0.02
0.26,-1.05,-0.02
0.24,-1.0,0.02
0.23,-0.99,0.04
0.23,-0.95,0.09
0.26,-0.93,0.12
0.27,-0.92,0.09
0.27,-0.93,0.07
0.14,-0.96,0.48
0.14,-0.92,0.45
0.14,-0.91,0.45
0.16,-0.92,0.48
0.17,-0.92,0.49
0.17,-0.9,0.49
0.18,-0.9,0.49
0.21,-0.9,0.49
0.2,-0.91,0.49
0.2,-0.92,0.49
0.21,-0.92,0.48
0.2,-0.91,0.48
0.2,-0.9,0.46
-0.17,-1.05,0.26
-0.18,-1.06,0.26
-0.19,-1.05,0.26
-0.2,-1.04,0.26
-0.2,-1.01,0.27
-0.19,-1.0,0.28
-0.17,-0.99,0.32
-0.16,-0.99,0.33
-0.14,-0.96,0.37
-0.13,-0.94,0.39
-0.1,-0.91,0.46
-0.09,-0.9,0.48
-0.06,-0.89,0.52
-0.05,-0.9,0.52
-0.04,-0.9,0.51
-0.03,-0.9,0.51
-0.01,-0.94,0.52
0.0,-0.96,0.53
0.03,-1.12,0.55
0.08,-1.38,0.58
0.17,-2.5,0.61
0.22,-3.39,0.57
0.26,-4.0,0.56
0.16,-4.0,0.46
0.09,-1.8,0.15
0.07,-0.22,-0.03
0.22,2.02,0.07
0.33,2.57,0.25
0.43,2.4,0.74
0.43,2.0,0.99
0.35,0.77,1.16
0.01,0.12,1.0
-0.09,-0.53,0.72
-0.27,-1.47,0.61
-0.35,-1.67,0.53
