ax,ay,az
-0.41,-0.75,0.36
-0.34,-0.79,0.3
-0.31,-0.82,0.26
-0.28,-0.87,0.18
-0.28,-0.88,0.16
-0.3,-0.9,0.18
-0.3,-0.92,0.19
-0.3,-0.96,0.21
-0.3,-0.98,0.2
-0.31,-0.99,0.17
-0.31,-0.99,0.16
-0.31,-1.0,0.15
-0.31,-1.0,0.14
-0.32,-0.99,0.16
-0.32,-1.01,0.16
-0.33,-1.01,0.14
-0.33,-1.0,0.13
-0.33,-0.98,0.12
-0.31,-1.0,0.1
-0.3,-1.02,0.07
-0.3,-1.02,0.05
-0.3,-1.0,0.05
-0.29,-0.99,0.05
-0.29,-0.98,0.05
-0.27,-0.97,0.07
-0.27,-0.95,0.07
-0.27,-0.92,0.09
-0.26,-0.91,0.11
-0.24,-0.92,0.13
-0.23,-0.91,0.14
-0.22,-0.92,0.17
-0.21,-0.92,0.18
-0.2,-0.94,0.19
-0.19,-0.96,0.19
-0.18,-0.99,0.21
-0.16,-1.0,0.22
-0.11,-1.06,0.2
-0.1,-1.07,0.19
-0.08,-1.09,0.19
-0.07,-1.1,0.2
-0.04,-1.13,0.24
-0.03,-1.13,0.25
-0.02,-1.1,0.29
-0.02,-1.09,0.32
-0.02,-1.07,0.34
-0.02,-1.06,0.35
-0.01,-1.08,0.36
-0.01,-1.09,0.36
-0.03,-1.13,0.37
-0.04,-1.12,0.37
-0.05,-1.15,0.36
-0.11,-1.12,0.33
-0.14,-1.1,0.29
-0.18,-1.02,0.22
-0.18,-0.99,0.22
-0.12,-1.03,0.33
-0.07,-1.09,0.41
0.03,-1.17,0.63
0.02,-1.19,0.76
-0.05,-1.23,0.94
-0.08,-1.29,0.97
-0.13,-1.39,0.91
-0.13,-1.43,0.87
-0.13,-1.41,0.8
-0.13,-1.4,0.78
-0.1,-1.41,0.74
-0.1,-1.4,0.69
-0.12,-1.34,0.65
-0.11,-1.3,0.62
-0.1,-1.16,0.54
-0.1,-1.08,0.5
-0.11,-0.9,0.45
-0.11,-0.81,0.44
-0.13,-0.63,0.42
-0.13,-0.55,0.41
-0.12,-0.42,0.39
-0.12,-0.39,0.37
-0.09,-0.38,0.37
-0.09,-0.4,0.37
-0.13,-0.38,0.36
-0.14,-0.37,0.34
-0.17,-0.31,0.36
-0.22,-0.25,0.37
-0.25,-0.22,0.4
-0.37,-0.22,0.5
-0.46,-0.22,0.56
-0.54,-0.11,0.6
-0.53,-0.05,0.55
-0.46,0.03,0.33
-0.38,0.05,0.2
-0.22,0.02,-0.27
-0.15,0.1,-0.67
-0.0,0.57,-1.59
0.25,0.86,-1.85
-0.08,1.4,-1.73
-0.43,2.08,-1.38
0.19,4.0,0.28
-0.49,4.0,1.58
1.52,4.0,2.57
3.57,4.0,1.35
