ax,ay,az
0.92,3.0,0.61
1.04,4.0,0.13
-0.71,4.0,-1.01
0.79,4.0,-1.3
2.76,4.0,-0.57
4.0,-0.98,2.05
4.0,-4.0,2.68
3.16,-4.0,2.16
2.03,-4.0,1.52
0.65,-4.0,0.98
0.18,-4.0,0.85
-0.32,-4.0,0.29
-0.42,-4.0,-0.06
-0.28,-2.7,-0.45
-0.16,-2.23,-0.5
-0.16,-1.55,-0.54
-0.14,-1.32,-0.56
-0.0,-0.91,-0.43
-0.03,-0.76,-0.35
-0.05,-0.5,-0.27
-0.03,-0.43,-0.19
0.05,-0.38,-0.07
0.1,-0.38,-0.01
0.13,-0.46,0.01
0.12,-0.52,-0.0
0.12,-0.62,-0.02
0.17,-0.87,-0.0
0.2,-0.99,0.03
0.23,-1.17,0.07
0.24,-1.23,0.09
0.29,-1.29,0.1
0.28,-1.28,0.08
0.19,-1.22,0.01
0.18,-1.2,-0.04
0.14,-1.13,-0.11
0.13,-1.09,-0.11
0.15,-1.09,-0.07
0.15,-1.13,-0.05
0.21,-1.15,-0.07
0.18,-1.13,-0.11
0.08,-1.11,-0.22
0.03,-1.08,-0.29
0.0,-1.09,-0.41
-0.03,-1.08,-0.38
0.14,-1.09,-0.12
0.19,-1.17,-0.08
0.19,-1.28,-0.12
0.17,-1.29,-0.19
0.12,-1.24,-0.26
0.09,-1.21,-0.29
0.05,-1.17,-0.33
0.06,-1.14,-0.3
0.08,-1.1,-0.23
0.08,-1.13,-0.21
0.09,-1.17,-0.22
0.09,-1.16,-0.23
0.07,-1.14,-0.24
0.03,-1.1,-0.28
0.0,-1.07,-0.28
-0.03,-1.02,-0.28
-0.05,-0.99,-0.28
-0.08,-0.91,-0.27
-0.09,-0.86,-0.27
-0.14,-0.78,-0.27
-0.15,-0.76,-0.29
-0.14,-0.79,-0.34
-0.13,-0.85,-0.36
-0.14,-0.87,-0.36
-0.14,-0.84,-0.34
-0.14,-0.81,-0.31
-0.15,-0.8,-0.3
-0.17,-0.81,-0.33
-0.19,-0.84,-0.37
-0.21,-0.87,-0.39
-0.21,-0.88,-0.36
-0.18,-0.9,-0.32
-0.18,-0.93,-0.32
-0.2,-0.96,-0.37
-0.2,-0.98,-0.39
-0.21,-0.99,-0.37
-0.2,-1.0,-0.35
-0.15,-1.0,-0.31
-0.13,-0.97,-0.3
-0.11,-0.88,-0.29
-0.1,-0.81,-0.29
-0.08,-0.63,-0.28
-0.05,-0.53,-0.28
-0.05,-0.42,-0.27
-0.03,-0.18,-0.18
-0.01,-0.04,-0.11
0.01,0.38,-0.04
-0.02,0.67,-0.05
-0.08,1.4,-0.12
-0.03,1.92,-0.19
0.11,3.03,-0.09
0.26,3.52,-0.1
0.47,3.65,-0.21
1.1,3.1,-0.12
2.15,0.8,0.38
2.22,-0.85,0.27
