ax,ay,az
-0.29,-0.98,0.03
-0.29,-0.98,0.03
-0.29,-0.97,0.04
-0.29,-0.97,0.04
-0.28,-0.96,0.04
-0.28,-0.96,0.04
-0.28,-0.96,0.04
-0.27,-0.96,0.04
-0.27,-0.96,0.03
-0.27,-0.97,0.03
-0.27,-0.97,0.02
-0.27,-0.97,0.02
-0.26,-0.96,0.03
-0.26,-0.96,0.03
-0.26,-0.95,0.02
-0.26,-0.95,0.02
-0.26,-0.94,-0.0
-0.26,-0.94,-0.02
-0.27,-0.93,-0.06
-0.27,-0.92,-0.07
-0.25,-0.93,-0.05
-0.24,-0.95,-0.04
-0.24,-0.96,-0.01
-0.24,-0.96,-0.0
-0.25,-0.96,-0.01
-0.23,-0.96,-0.0
-0.24,-0.95,-0.01
-0.23,-0.96,0.0
-0.23,-0.95,0.01
-0.21,-0.96,0.02
-0.21,-0.95,0.02
-0.21,-0.95,0.01
-0.2,-0.95,0.01
-0.2,-0.96,0.02
-0.19,-0.96,0.03
-0.18,-0.98,0.06
-0.18,-0.98,0.07
-0.18,-0.99,0.09
-0.18,-1.0,0.09
-0.18,-1.0,0.09
-0.18,-1.0,0.09
-0.17,-0.98,0.09
-0.17,-0.97,0.09
-0.18,-0.96,0.07
-0.17,-0.95,0.06
-0.18,-0.97,0.04
-0.17,-0.97,0.03
-0.16,-0.98,0.04
-0.16,-0.97,0.05
-0.17,-0.97,0.08
-0.14,-0.96,0.07
-0.16,-0.97,0.09
-0.15,-0.98,0.09
-0.15,-1.0,0.1
-0.14,-1.0,0.11
-0.14,-1.01,0.12
-0.14,-1.01,0.12
-0.14,-1.01,0.11
-0.14,-1.0,0.1
-0.14,-1.0,0.1
-0.13,-1.0,0.12
-0.13,-1.0,0.13
-0.13,-1.0,0.14
-0.13,-1.01,0.14
-0.13,-1.03,0.13
-0.13,-1.03,0.12
-0.13,-1.05,0.1
-0.13,-1.05,0.09
-0.12,-1.07,0.08
-0.12,-1.07,0.08
-0.09,-1.06,0.15
-0.06,-1.07,0.27
0.1,-1.17,0.74
0.29,-1.26,1.19
0.54,-1.19,2.93
0.54,-0.82,3.7
0.78,-0.28,3.72
1.13,-0.44,3.44
1.44,-0.92,2.03
1.48,-1.23,1.05
1.53,-1.67,-0.61
1.22,-1.38,-1.61
0.24,-1.1,-3.01
-0.12,-1.07,-3.23
-0.44,-1.0,-3.0
-0.47,-1.0,-2.62
-0.45,-0.98,-1.63
-0.35,-0.96,-1.08
-0.32,-0.94,-0.61
-0.24,-0.89,0.01
-0.21,-0.86,0.19
-0.17,-0.8,0.32
-0.16,-0.8,0.3
-0.14,-0.77,0.13
-0.16,-0.79,0.06
-0.15,-0.82,-0.1
-0.16,-0.8,-0.16
-0.17,-0.77,-0.18
-0.17,-0.75,-0.17
-0.18,-0.75,-0.15
