ax,ay,az
0.16,-1.06,0.36
-0.01,-1.02,0.36
-0.23,-0.98,0.44
-1.07,-1.06,0.82
-1.57,-1.07,1.02
-1.77,-1.28,1.19
-1.46,-1.31,1.15
-0.74,-1.16,0.69
-0.25,-0.94,0.32
0.9,-0.79,-0.37
1.32,-0.97,-0.5
1.34,-1.59,-0.3
1.14,-1.71,-0.11
1.45,-1.45,0.15
1.48,-1.26,0.26
1.03,-0.77,0.46
0.72,-0.62,0.55
0.27,-0.54,0.59
0.15,-0.56,0.55
-0.05,-0.66,0.42
-0.14,-0.71,0.36
-0.29,-0.75,0.24
-0.32,-0.75,0.19
-0.28,-0.8,0.15
-0.24,-0.83,0.16
-0.12,-0.96,0.18
-0.08,-1.01,0.18
-0.03,-1.05,0.2
-0.01,-1.06,0.21
0.01,-1.04,0.24
0.02,-1.01,0.26
0.01,-0.97,0.32
0.02,-0.92,0.33
0.04,-0.9,0.34
0.03,-0.85,0.33
0.04,-0.84,0.33
0.04,-0.85,0.3
0.04,-0.84,0.28
0.03,-0.83,0.26
0.03,-0.85,0.26
0.02,-0.87,0.25
0.02,-0.86,0.25
0.0,-0.85,0.21
0.01,-0.86,0.18
0.01,-0.88,0.14
0.02,-0.89,0.15
0.05,-0.93,0.19
0.05,-0.95,0.22
0.06,-0.99,0.27
0.07,-1.0,0.28
0.07,-1.03,0.28
0.08,-1.05,0.29
0.09,-1.09,0.29
0.1,-1.11,0.29
0.11,-1.14,0.26
0.11,-1.15,0.24
0.1,-1.14,0.21
0.09,-1.13,0.21
0.09,-1.11,0.2
0.08,-1.09,0.18
0.07,-1.07,0.14
0.06,-1.05,0.13
0.05,-1.03,0.13
0.04,-1.0,0.15
0.03,-0.96,0.17
0.01,-0.9,0.22
0.02,-0.89,0.24
0.01,-0.93,0.29
0.02,-0.94,0.29
0.02,-0.98,0.32
0.01,-0.99,0.34
0.02,-1.01,0.36
0.02,-1.0,0.36
0.01,-0.97,0.36
0.01,-0.95,0.36
0.0,-0.95,0.34
0.0,-0.94,0.34
0.0,-0.93,0.33
0.0,-0.92,0.32
-0.07,-0.96,0.28
-0.41,-0.98,0.25
-2.81,-1.26,0.62
-4.0,-1.4,0.71
-3.57,-1.88,0.58
-2.8,-2.03,0.32
-1.43,-2.13,-0.53
-0.07,-1.83,-0.58
2.19,-1.23,0.15
2.51,-1.0,0.38
1.42,-0.59,0.22
1.7,-0.57,-0.03
2.25,-0.71,-0.18
1.7,-0.57,-0.07
1.26,-0.42,0.38
0.65,-0.55,0.56
0.45,-0.66,0.71
0.08,-0.92,0.85
-0.08,-1.05,0.81
-0.27,-1.17,0.63
-0.32,-1.18,0.56
