ax,ay,az
-0.1,-0.9,0.23
-0.04,-1.0,0.14
0.01,-1.1,0.07
0.05,-1.12,-0.0
0.05,-1.13,0.01
0.04,-1.14,0.03
0.03,-1.1,0.03
0.03,-1.1,0.1
0.03,-1.07,0.19
0.01,-1.0,0.26
0.02,-0.99,0.29
0.01,-0.96,0.32
-0.01,-0.95,0.28
-0.02,-0.98,0.21
-0.0,-0.99,0.2
-0.02,-1.0,0.1
-0.02,-1.03,0.05
-0.02,-1.06,-0.02
-0.02,-1.06,-0.04
-0.05,-1.05,-0.05
-0.05,-1.03,-0.03
-0.03,-1.03,0.05
-0.03,-1.05,0.04
-0.04,-1.05,0.03
-0.04,-1.05,0.04
-0.03,-1.02,0.06
-0.03,-1.0,0.05
-0.01,-0.99,0.04
-0.01,-0.99,0.04
-0.0,-1.02,0.09
-0.01,-1.03,0.11
-0.01,-1.03,0.14
-0.01,-1.02,0.16
-0.04,-0.97,0.17
-0.05,-0.96,0.16
-0.03,-0.94,0.14
-0.05,-0.94,0.12
-0.05,-0.93,0.06
-0.06,-0.9,0.05
-0.07,-0.9,0.05
-0.1,-0.89,0.08
-0.12,-0.89,0.1
-0.14,-0.91,0.15
-0.13,-0.92,0.16
-0.13,-0.94,0.16
-0.14,-0.95,0.15
-0.15,-0.94,0.13
-0.15,-0.94,0.12
-0.14,-0.92,0.1
-0.14,-0.9,0.09
-0.13,-0.89,0.07
-0.13,-0.88,0.05
-0.12,-0.88,0.02
-0.11,-0.89,0.0
-0.12,-0.92,-0.01
-0.12,-0.94,-0.0
-0.13,-0.97,0.04
-0.14,-0.98,0.08
-0.15,-0.98,0.13
-0.16,-0.98,0.15
-0.16,-1.02,0.15
-0.17,-1.04,0.13
-0.18,-1.06,0.1
-0.18,-1.07,0.08
-0.2,-1.08,0.08
-0.2,-1.08,0.07
-0.21,-1.08,0.07
-0.21,-1.07,0.06
-0.21,-1.07,0.03
-0.2,-1.07,0.01
-0.19,-1.07,-0.01
-0.16,-1.08,-0.03
-0.16,-1.09,-0.03
-0.16,-1.14,0.01
-0.14,-1.15,0.05
-0.15,-1.16,0.14
-0.15,-1.14,0.15
-0.14,-1.13,0.13
-0.13,-1.12,0.11
-0.13,-1.13,0.08
-0.13,-1.15,0.09
-0.13,-1.16,0.14
-0.14,-1.16,0.17
-0.22,-1.14,0.25
-0.37,-1.09,0.26
-1.27,-1.02,0.33
-2.5,-1.07,0.54
-4.0,-1.5,0.65
-3.69,-1.39,0.51
-2.81,-1.2,-0.41
-2.78,-1.02,-0.8
-1.86,0.05,0.2
-0.51,0.21,0.9
3.44,-0.19,1.86
3.74,-1.78,0.98
2.54,-2.52,-0.8
3.62,-2.05,-1.4
2.05,-1.96,-0.78
1.43,-1.52,-0.69
0.95,-0.9,-0.16
