ax,ay,az
0.12,-0.94,0.29
0.12,-0.95,0.25
0.11,-0.99,0.19
0.11,-1.0,0.16
0.1,-1.0,0.14
0.1,-0.99,0.14
0.1,-0.98,0.13
0.09,-0.98,0.11
0.09,-0.97,0.12
0.09,-0.97,0.12
0.09,-0.97,0.12
0.09,-0.98,0.13
0.1,-0.98,0.14
0.1,-0.97,0.14
0.1,-0.97,0.13
0.1,-0.96,0.12
0.1,-0.96,0.12
0.1,-0.97,0.11
0.1,-0.98,0.1
0.1,-0.98,0.11
0.1,-0.98,0.12
0.1,-0.97,0.14
0.11,-0.98,0.13
0.11,-0.98,0.13
0.11,-0.98,0.13
0.1,-0.98,0.14
0.1,-0.98,0.13
0.1,-0.95,0.13
0.11,-0.96,0.13
0.1,-0.98,0.13
0.1,-0.97,0.14
0.1,-0.97,0.14
0.1,-0.98,0.15
0.1,-0.98,0.16
0.1,-0.99,0.16
0.1,-0.99,0.15
0.1,-0.98,0.15
0.1,-0.98,0.15
0.1,-0.96,0.15
0.1,-0.96,0.15
0.1,-0.96,0.14
0.1,-0.96,0.14
0.1,-0.97,0.14
0.1,-0.97,0.14
0.1,-0.97,0.15
0.1,-0.97,0.14
0.1,-0.98,0.14
0.1,-0.98,0.13
0.11,-0.99,0.13
0.1,-0.99,0.13
0.11,-0.98,0.14
0.11,-0.98,0.14
0.11,-0.99,0.14
0.11,-0.99,0.14
0.11,-0.98,0.14
0.11,-0.98,0.14
0.11,-0.97,0.13
0.11,-0.97,0.13
0.11,-0.97,0.14
0.11,-0.96,0.13
0.11,-0.98,0.14
0.11,-0.98,0.14
0.11,-0.98,0.14
0.11,-0.98,0.14
0.11,-0.98,0.13
0.11,-0.99,0.13
0.11,-0.99,0.12
0.1,-1.0,0.1
0.1,-1.0,0.09
0.09,-0.99,0.05
0.08,-0.98,0.04
0.07,-0.92,0.05
0.09,-0.82,0.13
0.16,-0.69,0.46
0.27,-0.83,0.42
0.15,-1.26,0.25
0.08,-1.4,0.24
-0.06,-1.27,0.12
0.02,-0.99,0.03
0.19,-0.35,-0.17
0.26,-0.35,0.15
0.2,-0.62,1.0
0.16,-0.62,1.07
0.26,-0.58,0.77
0.3,-0.66,0.82
0.33,-0.97,0.75
0.29,-1.19,0.49
0.13,-1.41,0.12
0.12,-1.37,0.15
0.19,-1.15,0.13
0.2,-1.04,0.24
0.2,-0.88,0.48
0.19,-0.82,0.58
0.19,-0.73,0.65
0.19,-0.74,0.62
0.18,-0.79,0.53
0.16,-0.85,0.48
0.16,-0.89,0.44
0.15,-0.94,0.39
0.15,-0.94,0.37
