ax,ay,az
-0.2,-0.27,0.99
-0.21,-0.26,0.98
-0.24,-0.21,0.91
-0.25,-0.16,0.92
-0.29,-0.12,0.86
-0.34,-0.16,0.83
-0.36,-0.19,0.82
-0.34,-0.23,0.86
-0.34,-0.19,0.88
-0.36,-0.06,0.9
-0.36,0.02,0.9
-0.35,0.1,0.9
-0.37,0.1,0.89
-0.37,0.04,0.84
-0.37,0.0,0.83
-0.36,0.04,0.86
-0.36,0.14,0.86
-0.35,0.23,0.84
-0.35,0.24,0.83
-0.35,0.21,0.82
-0.34,0.19,0.81
-0.33,0.2,0.84
-0.34,0.26,0.85
-0.4,0.34,0.86
-0.4,0.38,0.85
-0.39,0.35,0.84
-0.43,0.31,0.84
-0.46,0.24,0.82
-0.44,0.18,0.8
-0.42,0.04,0.84
-0.38,-0.02,0.89
-0.33,-0.14,1.02
-0.33,-0.13,1.04
-0.35,-0.11,1.04
-0.37,-0.1,1.02
-0.38,-0.09,0.93
-0.36,-0.09,0.89
-0.37,-0.09,0.85
-0.41,-0.07,0.81
-0.41,-0.04,0.8
-0.39,0.01,0.77
-0.38,0.02,0.78
-0.38,0.04,0.79
-0.39,0.06,0.79
-0.39,0.1,0.79
-0.39,0.12,0.8
-0.41,0.15,0.83
-0.4,0.15,0.85
-0.39,0.15,0.9
-0.39,0.14,0.92
-0.38,0.12,0.95
-0.41,0.11,0.91
-0.4,0.12,0.89
-0.4,0.12,0.89
-0.37,0.1,0.89
-0.36,0.1,0.9
-0.36,0.1,0.91
-0.37,0.1,0.91
-0.37,0.13,0.9
-0.36,0.15,0.91
-0.34,0.2,0.9
-0.34,0.22,0.91
-0.33,0.28,0.93
-0.32,0.32,0.94
-0.32,0.37,0.91
-0.32,0.4,0.9
-0.32,0.41,0.86
-0.32,0.43,0.84
-0.31,0.43,0.83
-0.32,0.46,0.81
-0.34,0.5,0.81
-0.43,0.67,0.87
-0.43,0.9,0.91
-0.06,0.99,0.86
0.06,0.85,0.84
-0.14,-0.28,0.7
-0.5,-0.79,0.38
-0.09,-1.33,-0.47
-0.13,-1.66,-0.68
-0.05,-1.53,0.1
-0.11,-1.17,0.44
-0.27,-1.01,0.04
-0.25,-1.12,-0.24
-0.08,-1.33,-0.26
0.04,-1.4,-0.03
0.03,-1.37,0.36
0.1,-1.07,0.41
-0.1,-0.6,0.44
-0.26,-0.61,0.34
-0.22,-0.84,0.08
-0.2,-0.94,0.02
-0.18,-1.02,0.06
-0.14,-1.03,0.11
-0.11,-1.04,0.21
-0.1,-1.0,0.27
-0.14,-0.88,0.34
-0.14,-0.85,0.35
-0.14,-0.84,0.35
-0.14,-0.84,0.34
-0.16,-0.88,0.31
