ax,ay,az
0.16,-0.21,-1.62
0.12,0.14,-1.31
0.26,0.04,-1.0
0.37,-0.45,-0.65
0.46,-0.73,-0.52
0.58,-1.04,-0.47
0.57,-1.06,-0.51
0.44,-0.91,-0.67
0.4,-0.82,-0.72
0.37,-0.73,-0.75
0.34,-0.61,-0.69
0.35,-0.6,-0.65
0.28,-0.65,-0.51
0.26,-0.68,-0.46
0.27,-0.84,-0.36
0.29,-0.89,-0.34
0.31,-0.97,-0.27
0.31,-0.97,-0.26
0.26,-0.92,-0.26
0.23,-0.89,-0.26
0.2,-0.84,-0.26
0.18,-0.82,-0.26
0.18,-0.82,-0.24
0.18,-0.83,-0.23
0.22,-0.88,-0.21
0.17,-0.9,-0.2
0.23,-0.98,-0.2
0.23,-0.98,-0.21
0.23,-1.0,-0.2
0.22,-1.0,-0.2
0.22,-0.99,-0.19
0.21,-0.99,-0.19
0.2,-0.98,-0.18
0.2,-0.98,-0.17
0.2,-0.98,-0.15
0.17,-0.98,-0.15
0.2,-1.0,-0.11
0.2,-1.01,-0.09
0.19,-1.0,-0.06
0.18,-1.0,-0.05
0.17,-0.98,-0.04
0.16,-0.95,-0.02
0.15,-0.95,-0.0
0.19,-0.96,0.02
0.13,-0.96,0.06
0.15,-0.97,0.09
0.15,-0.97,0.1
0.14,-0.97,0.1
0.14,-0.97,0.1
0.09,-0.94,0.1
0.11,-0.94,0.12
0.09,-0.92,0.15
0.09,-0.94,0.18
0.11,-0.97,0.25
0.11,-0.96,0.27
0.11,-0.97,0.29
0.11,-0.97,0.28
0.1,-0.97,0.26
0.1,-0.97,0.26
0.09,-0.97,0.26
0.09,-0.97,0.27
0.08,-0.97,0.29
0.07,-0.95,0.29
0.07,-0.94,0.29
0.08,-0.94,0.3
0.07,-0.93,0.29
0.06,-0.93,0.28
0.04,-0.91,0.28
0.05,-0.9,0.28
0.05,-0.9,0.3
0.06,-0.93,0.31
0.08,-0.95,0.32
0.08,-0.96,0.31
0.07,-0.94,0.29
0.04,-0.86,0.26
0.02,-0.76,0.23
-0.01,-0.49,0.18
0.1,-0.35,0.13
0.48,-0.78,-0.31
0.69,-1.26,-0.6
0.56,-2.26,-0.47
0.32,-2.22,-0.17
0.04,-1.38,0.07
-0.19,-0.96,-0.17
-0.2,-0.55,-1.01
-0.24,-0.49,-1.24
-0.09,-0.39,-1.08
0.03,-0.4,-0.91
0.16,-0.58,-0.6
0.17,-0.7,-0.51
0.18,-0.85,-0.44
0.18,-0.89,-0.43
0.12,-0.84,-0.45
0.08,-0.78,-0.45
0.02,-0.72,-0.43
0.01,-0.7,-0.42
0.01,-0.72,-0.4
0.01,-0.75,-0.4
0.01,-0.84,-0.39
0.0,-0.87,-0.37
