ax,ay,az
0.2,-0.1,0.95
0.2,-0.1,0.94
0.22,-0.09,0.93
0.28,-0.09,0.94
0.57,-0.1,0.97
0.89,-0.16,1.01
1.9,-0.42,1.24
2.29,-0.39,1.39
2.09,0.34,1.93
1.86,0.79,2.07
1.08,1.41,1.37
0.28,1.23,0.64
-1.32,0.18,-0.51
-1.62,-0.39,-0.78
-1.56,-1.01,-0.52
-1.23,-1.04,-0.15
-0.68,-0.72,0.52
-0.59,-0.5,0.8
-0.48,-0.03,1.18
-0.1,0.16,1.29
0.06,0.33,1.39
0.28,0.41,1.47
0.36,0.35,1.45
0.32,0.32,1.25
0.24,0.32,1.12
0.11,0.23,0.94
0.06,0.17,0.91
0.11,0.06,0.91
0.16,0.03,0.92
0.17,0.01,0.94
0.16,0.03,0.99
0.17,0.13,1.1
0.2,0.17,1.14
0.29,0.23,1.15
0.32,0.21,1.12
0.29,0.13,0.99
0.26,0.1,0.95
0.24,0.05,0.87
0.21,0.04,0.85
0.22,0.06,0.83
0.24,0.06,0.83
0.22,0.02,0.85
0.23,0.01,0.86
0.24,0.0,0.91
0.19,-0.0,0.9
0.17,0.03,0.9
0.17,0.06,0.92
0.16,0.05,0.94
0.15,0.06,0.95
0.14,0.06,0.95
0.12,0.06,0.97
0.12,0.06,0.98
0.11,0.08,0.97
0.11,0.09,0.97
0.14,0.06,0.95
0.15,0.05,0.94
0.16,0.03,0.93
0.16,0.01,0.93
0.16,0.0,0.94
0.16,0.02,0.94
0.15,0.06,0.94
0.14,0.08,0.93
0.14,0.08,0.91
0.14,0.08,0.9
0.15,0.06,0.9
0.15,0.04,0.91
0.17,0.03,0.95
0.19,0.03,0.96
0.18,0.04,0.98
0.18,0.05,1.0
0.18,0.07,0.99
0.17,0.07,0.99
0.16,0.07,0.96
0.15,0.05,0.94
0.13,0.01,0.92
0.13,0.01,0.92
0.11,0.03,0.94
0.1,0.05,0.95
0.1,0.07,0.95
0.12,0.08,0.95
0.17,0.06,0.95
0.19,0.05,0.97
0.25,0.05,0.99
0.46,0.03,1.0
0.63,0.03,1.02
1.08,0.04,1.09
1.28,0.13,1.17
1.54,0.33,1.38
1.52,0.48,1.48
1.31,0.63,1.43
1.0,0.53,1.16
-0.07,0.06,0.49
-0.75,-0.21,0.28
-1.59,-0.43,0.21
-1.6,-0.39,0.36
-1.09,-0.04,0.71
-0.92,0.16,0.89
-0.6,0.42,1.01
-0.44,0.44,0.96
-0.18,0.32,0.8
