ax,ay,az
0.43,-1.11,0.91
-0.56,-0.44,0.52
-1.22,-0.06,0.29
-1.99,0.25,-0.31
-2.25,0.06,-0.72
-2.49,-0.32,-1.19
-2.26,-0.59,-1.12
-1.7,-1.08,-0.52
-1.45,-1.24,-0.11
-1.0,-1.35,0.68
-0.81,-1.2,1.0
-0.61,-0.7,1.25
-0.6,-0.52,1.19
-0.62,-0.45,0.97
-0.57,-0.44,0.83
-0.52,-0.35,0.48
-0.54,-0.35,0.32
-0.59,-0.36,0.09
-0.61,-0.38,0.01
-0.67,-0.4,-0.1
-0.69,-0.42,-0.11
-0.72,-0.43,-0.08
-0.76,-0.43,-0.03
-0.76,-0.43,0.03
-0.78,-0.45,0.14
-0.79,-0.49,0.17
-0.81,-0.54,0.25
-0.81,-0.57,0.27
-0.79,-0.61,0.28
-0.79,-0.62,0.28
-0.79,-0.64,0.25
-0.79,-0.65,0.23
-0.79,-0.63,0.18
-0.79,-0.61,0.14
-0.81,-0.56,0.09
-0.8,-0.55,0.07
-0.79,-0.55,0.06
-0.79,-0.57,0.07
-0.79,-0.59,0.09
-0.78,-0.6,0.11
-0.78,-0.63,0.16
-0.78,-0.63,0.17
-0.79,-0.64,0.2
-0.8,-0.64,0.2
-0.82,-0.62,0.21
-0.83,-0.61,0.2
-0.85,-0.57,0.2
-0.85,-0.56,0.2
-0.85,-0.55,0.2
-0.86,-0.56,0.19
-0.84,-0.58,0.19
-0.84,-0.6,0.18
-0.84,-0.6,0.16
-0.84,-0.6,0.16
-0.84,-0.59,0.15
-0.84,-0.61,0.14
-0.83,-0.61,0.14
-0.84,-0.6,0.14
-0.84,-0.6,0.15
-0.81,-0.62,0.17
-0.81,-0.63,0.17
-0.82,-0.61,0.16
-0.83,-0.6,0.15
-0.84,-0.59,0.13
-0.84,-0.59,0.13
-0.86,-0.56,0.11
-0.85,-0.53,0.11
-0.82,-0.56,0.12
-0.8,-0.59,0.13
-0.74,-0.69,0.21
-0.67,-0.75,0.26
-0.32,-0.71,0.34
0.03,-0.55,0.4
1.04,-0.53,0.59
1.5,-0.88,0.77
1.32,-1.23,0.84
0.82,-1.14,0.76
-0.93,-0.69,-0.19
-2.31,-0.39,-0.7
-3.08,-0.26,-1.43
-2.96,-0.28,-1.38
-2.36,-0.56,-0.39
-1.95,-0.79,0.12
-1.25,-1.22,1.05
-0.96,-1.32,1.37
-0.8,-1.24,1.67
-0.68,-0.69,1.58
-0.63,-0.56,1.39
-0.58,-0.55,1.01
-0.52,-0.51,0.82
-0.44,-0.47,0.48
-0.43,-0.48,0.34
-0.42,-0.52,0.11
-0.44,-0.52,0.02
-0.5,-0.51,-0.11
-0.53,-0.5,-0.14
-0.6,-0.48,-0.14
-0.63,-0.48,-0.11
-0.69,-0.51,-0.01
-0.71,-0.52,0.05
