ax,ay,az
0.92,0.17,0.02
0.91,0.18,0.01
0.92,0.15,0.01
0.93,0.13,0.02
0.97,0.09,0.04
0.99,0.09,0.04
0.99,0.09,0.04
0.99,0.1,0.03
1.0,0.15,0.03
0.97,0.14,0.04
0.96,0.13,0.05
0.97,0.11,0.09
0.97,0.12,0.11
0.97,0.14,0.11
0.97,0.15,0.11
0.96,0.15,0.11
0.95,0.15,0.11
0.98,0.14,0.11
0.98,0.14,0.09
0.97,0.13,0.08
1.04,0.12,0.09
1.03,0.14,0.08
0.97,0.13,0.05
0.89,0.16,0.05
0.88,0.17,0.07
0.9,0.2,0.11
0.9,0.2,0.12
0.99,0.22,0.12
1.06,0.23,0.1
0.98,0.23,0.05
0.92,0.19,0.08
0.82,0.16,0.11
0.83,0.15,0.14
0.87,0.18,0.16
0.87,0.2,0.16
0.84,0.23,0.12
0.85,0.22,0.11
0.93,0.21,0.1
0.94,0.2,0.1
0.94,0.19,0.11
0.96,0.2,0.11
0.97,0.2,0.11
0.96,0.2,0.1
0.97,0.19,0.11
1.0,0.19,0.12
1.02,0.21,0.1
0.98,0.2,0.07
0.95,0.18,0.08
0.96,0.18,0.09
0.96,0.19,0.08
0.93,0.2,0.07
0.92,0.2,0.07
0.93,0.21,0.06
0.93,0.2,0.06
0.93,0.2,0.07
0.93,0.2,0.07
0.96,0.2,0.07
0.96,0.21,0.07
0.94,0.21,0.08
0.94,0.21,0.08
0.94,0.21,0.08
0.94,0.2,0.08
0.94,0.21,0.07
0.92,0.2,0.08
0.93,0.2,0.09
0.94,0.2,0.09
0.93,0.19,0.09
0.92,0.2,0.09
0.92,0.22,0.07
0.92,0.22,0.07
0.93,0.2,0.09
0.95,0.2,0.09
0.96,0.2,0.1
0.95,0.2,0.11
0.95,0.19,0.11
0.97,0.22,0.09
1.0,0.25,0.08
1.26,0.34,0.05
1.55,0.42,0.05
2.53,0.44,0.13
3.04,0.36,0.24
3.43,0.36,0.48
3.03,0.51,0.58
1.45,0.71,0.53
0.4,0.51,0.33
-2.21,-0.33,-0.8
-3.07,-0.53,-1.09
-1.55,-0.47,-1.03
-0.57,-0.35,-0.79
0.14,-0.33,-0.37
0.21,-0.21,-0.11
0.7,0.42,0.15
1.08,0.68,0.17
1.65,0.34,0.5
1.62,0.12,0.68
1.41,0.06,0.45
1.34,0.06,0.27
1.14,0.02,0.07
1.04,0.06,0.01
0.92,0.27,-0.14
