ax,ay,az
-0.25,-1.02,0.09
-0.24,-1.0,0.07
-0.25,-0.99,0.06
-0.24,-0.97,0.07
-0.26,-0.95,0.09
-0.26,-0.94,0.1
-0.27,-0.9,0.12
-0.28,-0.88,0.12
-0.29,-0.85,0.15
-0.29,-0.85,0.18
-0.3,-0.82,0.19
-0.3,-0.83,0.2
-0.3,-0.83,0.19
-0.3,-0.83,0.19
-0.26,-0.84,0.2
-0.24,-0.84,0.21
-0.19,-0.84,0.23
-0.16,-0.82,0.23
-0.1,-0.82,0.24
-0.08,-0.8,0.25
-0.05,-0.77,0.28
-0.04,-0.77,0.31
-0.01,-0.81,0.38
0.01,-0.83,0.42
0.01,-0.89,0.45
-0.01,-0.91,0.45
-0.05,-0.94,0.41
-0.07,-0.96,0.41
-0.15,-0.99,0.43
-0.17,-0.99,0.45
-0.21,-0.96,0.46
-0.23,-0.95,0.46
-0.24,-0.88,0.45
-0.23,-0.86,0.44
-0.23,-0.86,0.43
-0.22,-0.8,0.43
-0.19,-0.78,0.43
-0.15,-0.79,0.5
-0.14,-0.8,0.51
-0.1,-0.83,0.48
-0.08,-0.84,0.45
-0.05,-0.86,0.35
-0.04,-0.88,0.33
-0.02,-0.93,0.34
-0.0,-0.96,0.36
0.02,-0.98,0.38
0.04,-0.98,0.38
0.06,-0.99,0.39
0.06,-0.99,0.39
0.06,-0.98,0.36
0.05,-0.97,0.34
0.03,-0.94,0.33
0.03,-0.92,0.32
0.02,-0.92,0.4
0.0,-0.93,0.44
0.03,-0.89,0.42
0.04,-0.89,0.39
0.03,-0.93,0.32
0.01,-0.94,0.32
0.02,-0.98,0.36
0.02,-0.99,0.42
0.03,-0.96,0.4
0.02,-0.93,0.38
0.03,-0.91,0.33
0.02,-0.91,0.31
0.04,-0.91,0.29
0.09,-1.0,0.34
0.1,-1.0,0.35
0.15,-0.96,0.33
0.18,-0.95,0.33
0.21,-0.94,0.33
0.19,-0.95,0.33
0.21,-0.94,0.28
0.23,-0.97,0.27
0.24,-0.98,0.25
0.26,-0.97,0.25
0.26,-0.94,0.26
0.27,-0.93,0.27
0.26,-0.93,0.28
0.26,-0.93,0.27
0.26,-0.94,0.28
0.25,-0.95,0.29
0.12,-0.59,0.16
0.79,-0.58,0.11
2.21,-0.95,-0.1
2.75,-1.4,-0.27
2.65,-2.68,-1.21
2.27,-2.55,-1.6
-0.49,-1.91,-0.76
-2.26,-0.8,0.0
-3.37,0.77,0.76
-3.43,1.32,1.13
-3.13,1.65,0.09
-2.9,1.26,-0.43
-2.32,0.17,0.04
-1.69,-0.44,0.82
-1.5,-1.31,1.72
-1.48,-1.53,1.44
-1.18,-1.62,0.56
-1.04,-1.64,0.32
