ax,ay,az
0.22,0.38,1.05
0.21,0.38,1.04
0.21,0.39,1.03
0.21,0.41,1.03
0.21,0.44,1.03
0.22,0.5,1.0
0.22,0.53,0.99
0.24,0.59,0.92
0.23,0.61,0.89
0.28,0.67,0.84
0.28,0.69,0.82
0.3,0.72,0.8
0.33,0.73,0.78
0.34,0.69,0.76
0.34,0.71,0.75
0.37,0.72,0.75
0.38,0.73,0.75
0.37,0.75,0.75
0.38,0.77,0.72
0.38,0.76,0.71
0.39,0.74,0.68
0.4,0.73,0.68
0.42,0.73,0.66
0.42,0.73,0.68
0.42,0.71,0.71
0.43,0.68,0.76
0.4,0.64,0.77
0.38,0.61,0.77
0.38,0.58,0.71
0.32,0.61,0.69
0.37,0.61,0.66
0.37,0.62,0.65
0.39,0.65,0.7
0.4,0.67,0.7
0.39,0.66,0.7
0.4,0.63,0.71
0.36,0.61,0.7
0.34,0.6,0.69
0.34,0.55,0.63
0.31,0.53,0.64
0.29,0.54,0.59
0.28,0.55,0.55
0.28,0.53,0.48
0.28,0.54,0.5
0.27,0.56,0.61
0.27,0.54,0.6
0.25,0.51,0.58
0.24,0.49,0.55
0.24,0.47,0.54
0.24,0.46,0.57
0.24,0.46,0.63
0.22,0.45,0.67
0.2,0.43,0.69
0.17,0.43,0.63
0.18,0.43,0.61
0.18,0.44,0.62
0.18,0.46,0.64
0.19,0.51,0.69
0.18,0.52,0.71
0.17,0.52,0.76
0.17,0.51,0.74
0.17,0.46,0.7
0.18,0.45,0.67
0.19,0.48,0.67
0.2,0.5,0.71
0.2,0.53,0.78
0.21,0.52,0.78
0.21,0.5,0.73
0.2,0.48,0.7
0.22,0.48,0.64
0.23,0.5,0.62
0.22,0.51,0.61
0.22,0.53,0.62
0.2,0.55,0.65
0.19,0.54,0.64
0.2,0.51,0.6
0.19,0.52,0.58
0.21,0.56,0.56
0.23,0.6,0.58
0.23,0.61,0.58
0.25,0.7,0.6
0.26,0.72,0.63
0.29,0.72,0.64
0.31,0.72,0.64
0.31,0.69,0.63
0.31,0.68,0.58
0.32,0.71,0.53
0.31,0.73,0.52
0.3,0.78,0.49
0.3,0.8,0.5
0.29,0.79,0.52
0.28,0.78,0.54
0.26,0.74,0.49
0.27,0.7,0.41
0.28,0.62,0.32
0.25,0.63,0.29
0.25,0.72,0.34
0.24,0.79,0.39
0.25,0.88,0.46
0.24,0.91,0.48
