ax,ay,az
-0.23,-0.77,-0.6
-0.3,-0.77,-0.59
-0.44,-0.75,-0.58
-0.55,-0.74,-0.59
-0.67,-0.78,-0.61
-0.63,-0.79,-0.61
-0.46,-0.84,-0.61
-0.4,-0.9,-0.63
-0.36,-1.03,-0.7
-0.32,-1.05,-0.72
-0.3,-1.06,-0.73
-0.26,-1.02,-0.7
-0.24,-0.98,-0.68
-0.23,-0.88,-0.65
-0.24,-0.84,-0.65
-0.25,-0.77,-0.63
-0.23,-0.77,-0.62
-0.21,-0.83,-0.62
-0.2,-0.86,-0.62
-0.22,-0.87,-0.62
-0.21,-0.85,-0.62
-0.2,-0.79,-0.64
-0.19,-0.76,-0.65
-0.15,-0.75,-0.66
-0.13,-0.77,-0.67
-0.11,-0.84,-0.71
-0.09,-0.86,-0.71
-0.06,-0.88,-0.7
-0.04,-0.87,-0.7
0.0,-0.82,-0.72
0.03,-0.79,-0.73
0.05,-0.72,-0.75
0.06,-0.71,-0.77
0.06,-0.72,-0.79
0.07,-0.72,-0.78
0.09,-0.69,-0.74
0.11,-0.66,-0.72
0.14,-0.59,-0.73
0.14,-0.58,-0.74
0.15,-0.57,-0.78
0.15,-0.58,-0.81
0.13,-0.59,-0.83
0.14,-0.57,-0.82
0.15,-0.55,-0.81
0.16,-0.52,-0.79
0.16,-0.5,-0.78
0.16,-0.49,-0.8
0.15,-0.48,-0.81
0.15,-0.5,-0.83
0.16,-0.5,-0.82
0.18,-0.48,-0.8
0.18,-0.46,-0.78
0.18,-0.45,-0.77
0.17,-0.45,-0.78
0.17,-0.47,-0.82
0.18,-0.49,-0.83
0.19,-0.48,-0.83
0.2,-0.48,-0.83
0.2,-0.49,-0.84
0.19,-0.49,-0.85
0.17,-0.49,-0.88
0.18,-0.49,-0.88
0.19,-0.46,-0.87
0.18,-0.46,-0.88
0.18,-0.45,-0.87
0.18,-0.44,-0.86
0.17,-0.44,-0.86
0.19,-0.45,-0.86
0.19,-0.44,-0.84
0.19,-0.44,-0.84
0.2,-0.43,-0.85
0.18,-0.42,-0.86
0.17,-0.4,-0.86
0.16,-0.34,-0.86
0.16,-0.32,-0.86
0.15,-0.32,-0.87
0.16,-0.32,-0.88
0.16,-0.33,-0.9
0.17,-0.34,-0.9
0.2,-0.36,-0.9
0.2,-0.37,-0.89
0.22,-0.37,-0.89
0.23,-0.38,-0.9
0.23,-0.37,-0.91
0.23,-0.37,-0.91
0.24,-0.39,-0.93
0.24,-0.39,-0.93
0.25,-0.39,-0.9
0.27,-0.39,-0.9
0.27,-0.39,-0.91
0.28,-0.39,-0.9
0.28,-0.39,-0.87
0.28,-0.37,-0.88
0.3,-0.39,-0.83
0.31,-0.39,-0.84
0.35,-0.36,-0.83
0.33,-0.34,-0.84
0.36,-0.28,-0.89
0.35,-0.25,-0.9
0.37,-0.23,-0.92
