ax,ay,az
-0.2,0.05,0.95
-0.21,0.05,0.96
-0.21,0.04,0.95
-0.24,0.05,0.9
-0.24,-0.01,0.99
-0.19,0.04,0.99
-0.16,0.08,0.97
-0.19,0.05,0.95
-0.24,0.03,0.97
-0.23,0.03,0.99
-0.2,0.04,0.96
-0.21,0.04,0.91
-0.21,0.05,0.94
-0.21,0.06,0.97
-0.2,0.05,0.97
-0.2,0.04,0.95
-0.2,0.04,0.96
-0.2,0.04,0.96
-0.2,0.04,0.97
-0.2,0.04,0.96
-0.2,0.05,0.95
-0.21,0.05,0.95
-0.2,0.06,0.95
-0.21,0.06,0.96
-0.21,0.05,0.96
-0.21,0.04,0.96
-0.2,0.05,0.96
-0.2,0.05,0.96
-0.2,0.05,0.96
-0.2,0.04,0.96
-0.21,0.04,0.96
-0.21,0.05,0.96
-0.2,0.05,0.96
-0.2,0.05,0.97
-0.2,0.05,0.97
-0.2,0.06,0.96
-0.2,0.05,0.96
-0.21,0.04,0.96
-0.21,0.05,0.96
-0.22,0.05,0.97
-0.22,0.04,1.0
-0.25,0.03,1.06
-0.25,0.14,1.18
-0.21,0.05,1.26
-0.31,0.08,1.35
-0.15,0.09,1.35
-0.14,0.06,1.43
-0.19,0.02,1.5
-0.1,0.06,1.44
-0.14,-0.01,1.35
-0.01,0.11,1.41
0.08,0.12,1.34
0.03,0.19,1.14
0.08,0.07,0.54
0.23,0.12,0.52
0.34,0.13,0.4
0.4,0.15,0.2
0.46,0.15,-0.02
0.5,0.07,-0.31
0.64,0.16,-0.22
0.75,0.16,-0.18
0.82,0.14,-0.11
0.85,0.08,0.04
0.97,0.1,0.12
0.98,0.1,0.18
1.0,0.1,0.26
0.95,0.05,0.3
0.91,0.06,0.29
0.87,0.03,0.31
0.86,0.05,0.29
0.87,0.05,0.32
0.89,0.09,0.41
0.87,0.07,0.33
0.88,0.09,0.29
0.86,0.09,0.34
0.89,0.1,0.35
0.89,0.08,0.39
0.89,0.08,0.42
0.9,0.09,0.32
0.85,0.05,0.31
0.89,0.08,0.4
0.92,0.09,0.46
0.9,0.09,0.42
0.87,0.08,0.31
0.84,0.09,0.29
0.84,0.11,0.25
0.8,0.11,0.17
0.8,0.14,0.09
0.73,0.11,-0.03
0.74,0.13,0.0
0.68,0.18,0.1
0.56,0.12,0.02
0.57,0.08,0.25
0.6,0.11,0.67
0.54,0.07,0.53
0.22,-0.01,0.34
0.2,0.11,1.0
0.2,-0.06,1.27
0.09,-0.03,1.08
0.01,-0.04,1.08
0.0,0.16,1.32
-0.0,0.02,1.05
-0.23,0.04,1.38
-0.18,0.09,1.51
-0.01,0.12,1.16
-0.15,0.1,1.08
-0.08,0.19,1.24
-0.12,0.13,1.24
-0.18,0.46,1.33
-0.02,0.13,0.88
-0.21,0.13,0.95
-0.23,0.03,0.84
-0.38,-0.18,0.98
-0.21,0.11,1.0
-0.24,0.01,0.97
-0.23,0.02,0.94
-0.22,0.05,0.96
-0.21,0.05,0.98
-0.2,0.06,0.95
-0.21,0.05,0.95
-0.21,0.05,0.96
-0.22,0.04,0.97
-0.21,0.06,0.97
-0.22,0.03,0.95
-0.22,0.01,0.95
-0.22,0.03,0.97
-0.21,0.03,0.96
-0.2,0.04,0.96
-0.2,0.02,0.95
-0.21,0.01,0.96
-0.21,0.02,0.95
-0.21,0.02,0.95
-0.2,0.01,0.96
-0.2,0.01,0.96
-0.2,0.02,0.95
-0.21,0.01,0.95
-0.21,0.01,0.96
-0.21,0.01,0.96
-0.2,0.01,0.95
-0.2,0.02,0.95
-0.2,0.02,0.96
-0.2,0.03,0.96
-0.2,0.03,0.96
-0.2,0.02,0.96
-0.2,0.02,0.96
-0.2,0.02,0.96
-0.21,0.03,0.95
-0.21,0.03,0.95
-0.21,0.02,0.95
-0.26,0.0,0.87
