ax,ay,az
-0.44,0.05,1.0
-0.44,0.08,0.99
-0.43,0.11,0.95
-0.43,0.11,0.93
-0.38,0.08,0.86
-0.37,0.03,0.84
-0.38,-0.04,0.84
-0.4,-0.06,0.86
-0.42,-0.08,0.86
-0.44,-0.07,0.86
-0.45,-0.02,0.82
-0.45,-0.02,0.81
-0.46,-0.03,0.8
-0.47,-0.04,0.8
-0.46,-0.04,0.76
-0.52,-0.09,0.97
-0.48,-0.1,0.88
-0.62,-0.05,0.91
-0.61,-0.03,0.9
-0.6,0.0,0.96
-0.62,0.01,1.0
-0.69,-0.01,1.12
-0.71,-0.02,1.1
-0.66,0.01,0.98
-0.61,0.03,0.93
-0.55,0.04,0.88
-0.56,0.03,0.88
-0.6,-0.02,0.89
-0.61,-0.03,0.91
-0.57,-0.0,0.94
-0.57,0.0,0.95
-0.58,0.04,0.92
-0.56,0.06,0.9
-0.52,0.1,0.86
-0.5,0.1,0.86
-0.49,0.12,0.85
-0.5,0.13,0.84
-0.52,0.11,0.84
-0.52,0.09,0.86
-0.53,0.07,0.88
-0.54,0.07,0.89
-0.54,0.08,0.87
-0.53,0.09,0.87
-0.52,0.1,0.87
-0.54,0.08,0.88
-0.54,0.06,0.88
-0.53,0.04,0.86
-0.53,0.03,0.87
-0.52,0.02,0.86
-0.51,0.03,0.85
-0.51,0.03,0.84
-0.51,0.03,0.83
-0.5,0.01,0.83
-0.5,0.01,0.83
-0.5,-0.01,0.83
-0.5,-0.0,0.82
-0.49,0.01,0.82
-0.49,0.0,0.82
-0.5,0.0,0.83
-0.51,-0.01,0.84
-0.52,-0.01,0.84
-0.51,-0.02,0.84
-0.5,-0.02,0.85
-0.51,-0.01,0.85
-0.52,0.03,0.84
-0.51,0.04,0.84
-0.5,0.05,0.84
-0.51,0.05,0.84
-0.52,0.03,0.87
-0.54,0.02,0.89
-0.53,0.02,0.88
-0.52,0.02,0.86
-0.51,0.03,0.85
-0.5,0.04,0.84
-0.51,0.04,0.84
-0.52,0.04,0.85
-0.52,0.03,0.86
-0.52,0.02,0.86
-0.52,0.02,0.86
-0.52,0.02,0.85
-0.51,0.02,0.85
-0.51,0.02,0.85
-0.51,0.02,0.84
-0.51,0.03,0.84
-0.51,0.04,0.84
-0.52,0.02,0.86
-0.52,0.01,0.86
-0.53,0.01,0.86
-0.52,0.01,0.86
-0.5,0.03,0.84
-0.5,0.04,0.83
-0.51,0.03,0.84
-0.51,0.02,0.86
-0.51,0.02,0.85
-0.51,0.02,0.85
-0.51,0.02,0.85
-0.51,0.02,0.85
-0.51,0.01,0.86
-0.51,0.02,0.86
-0.5,0.03,0.84
