ax,ay,az
1.34,-0.43,-2.36
1.5,-1.08,0.8
1.69,-1.27,2.21
1.74,-1.43,4.0
1.54,-1.38,4.0
0.88,-0.99,4.0
0.53,-0.75,3.98
-0.05,-0.42,2.12
-0.3,-0.35,1.18
-0.37,-0.26,-0.72
-0.49,-0.29,-1.42
-0.52,-0.4,-1.95
-0.66,-0.55,-2.11
-0.67,-0.62,-1.97
-0.57,-0.6,-1.54
-0.51,-0.64,-1.23
-0.42,-0.68,-0.62
-0.36,-0.7,-0.35
-0.26,-0.7,-0.05
-0.25,-0.7,-0.03
-0.27,-0.62,-0.06
-0.29,-0.55,-0.14
-0.29,-0.48,-0.36
-0.32,-0.48,-0.45
-0.38,-0.56,-0.61
-0.41,-0.61,-0.68
-0.43,-0.73,-0.8
-0.46,-0.77,-0.8
-0.48,-0.8,-0.77
-0.49,-0.78,-0.74
-0.48,-0.73,-0.66
-0.46,-0.7,-0.63
-0.44,-0.64,-0.55
-0.42,-0.63,-0.53
-0.41,-0.6,-0.5
-0.39,-0.58,-0.48
-0.34,-0.53,-0.47
-0.32,-0.51,-0.46
-0.29,-0.48,-0.42
-0.27,-0.48,-0.39
-0.25,-0.5,-0.32
-0.26,-0.52,-0.27
-0.22,-0.57,-0.34
-0.16,-0.69,-0.35
-0.15,-0.72,-0.35
-0.13,-0.73,-0.25
-0.13,-0.71,-0.18
-0.07,-0.77,-0.1
-0.04,-0.82,-0.1
0.03,-0.99,-0.12
0.04,-1.06,-0.1
0.1,-1.08,-0.05
0.16,-1.07,-0.06
0.24,-1.14,-0.09
0.24,-1.24,-0.15
0.26,-1.46,-0.23
0.29,-1.55,-0.21
0.24,-1.63,-0.08
0.21,-1.56,-0.03
0.21,-1.38,0.08
0.21,-1.31,0.13
0.19,-1.19,0.19
0.18,-1.13,0.2
0.18,-1.07,0.22
0.19,-1.08,0.22
0.18,-1.11,0.2
0.17,-1.16,0.22
0.21,-1.25,0.26
0.21,-1.27,0.3
0.18,-1.27,0.39
0.18,-1.25,0.43
0.17,-1.23,0.47
0.18,-1.21,0.46
0.16,-1.16,0.42
0.15,-1.06,0.4
0.15,-1.03,0.39
0.14,-1.0,0.38
0.12,-0.97,0.37
0.1,-0.94,0.35
0.08,-0.93,0.33
0.07,-0.9,0.27
0.05,-0.88,0.25
0.05,-0.88,0.19
0.04,-0.88,0.16
0.02,-0.89,0.12
0.03,-0.91,0.09
-0.04,-1.03,-0.0
-0.12,-1.11,-0.18
-0.48,-1.3,-1.71
-0.71,-1.5,-3.76
1.09,-2.68,-4.0
1.3,-2.85,-4.0
2.22,-1.49,-1.28
2.68,-0.36,0.5
2.96,0.51,3.83
2.25,0.63,4.0
1.41,0.44,4.0
0.95,0.22,4.0
0.43,-0.35,3.64
0.26,-0.82,2.61
