ax,ay,az
0.27,0.05,0.86
0.29,0.05,0.9
0.32,0.07,0.94
0.3,0.07,0.92
0.29,0.04,0.9
0.31,0.03,0.91
0.32,0.02,0.92
0.31,0.02,0.93
0.3,0.01,0.93
0.31,-0.0,0.95
0.31,0.01,0.97
0.31,0.03,0.97
0.32,0.05,1.0
0.31,0.05,1.0
0.34,0.06,1.02
0.32,0.05,1.05
0.32,0.03,1.06
0.31,0.06,1.07
0.29,0.07,1.04
0.27,0.11,1.05
0.26,0.11,1.05
0.28,0.07,1.03
0.29,0.04,1.03
0.27,0.07,1.02
0.27,0.07,1.01
0.27,0.04,0.99
0.26,0.05,0.99
0.24,0.05,1.01
0.24,0.03,1.06
0.28,0.02,1.16
0.28,0.02,1.18
0.25,-0.0,1.13
0.21,-0.01,1.1
0.19,-0.01,1.06
0.16,-0.02,1.01
0.1,-0.01,0.96
0.11,-0.02,0.96
0.13,-0.08,0.96
0.14,-0.09,0.96
0.03,-1.0,0.18
0.01,-0.97,0.17
-0.01,-0.95,0.16
-0.03,-0.93,0.13
-0.05,-0.93,0.12
-0.06,-0.93,0.11
-0.07,-0.92,0.12
-0.09,-0.93,0.13
-0.1,-0.93,0.13
-0.11,-0.93,0.13
-0.11,-0.93,0.13
-0.12,-0.94,0.13
-0.13,-0.93,0.12
-0.13,-0.93,0.11
-0.13,-0.94,0.11
-0.14,-0.93,0.09
-0.14,-0.93,0.07
-0.16,-0.9,0.04
-0.17,-0.88,0.02
-0.17,-0.85,-0.01
-0.17,-0.84,-0.03
-0.17,-0.84,-0.04
-0.16,-0.86,-0.04
-0.15,-0.87,-0.04
-0.16,-0.86,-0.05
-0.16,-0.84,-0.07
-0.17,-0.82,-0.12
-0.16,-0.82,-0.13
-0.15,-0.87,-0.11
-0.14,-0.9,-0.1
-0.12,-0.93,-0.07
-0.12,-0.96,-0.05
-0.1,-1.01,-0.02
-0.1,-1.02,-0.0
-0.09,-1.06,0.03
-0.09,-1.07,0.04
-0.08,-1.1,0.07
-0.08,-1.1,0.08
-0.07,-1.11,0.1
-0.08,-1.11,0.11
-0.07,-1.09,0.13
-0.08,-1.09,0.14
-0.08,-1.07,0.14
-0.09,-1.06,0.13
-0.1,-1.04,0.12
-0.11,-1.03,0.12
-0.11,-1.01,0.09
-0.12,-1.0,0.07
-0.14,-0.99,0.0
-0.19,-0.82,0.47
-0.19,-0.82,0.48
-0.18,-0.81,0.49
-0.18,-0.81,0.5
-0.19,-0.81,0.52
-0.19,-0.81,0.53
-0.2,-0.77,0.5
-0.21,-0.76,0.48
-0.34,-0.74,0.31
-0.41,-0.66,0.03
-0.51,-0.62,-0.86
-0.65,-0.39,-1.56
