ax,ay,az
0.02,-0.85,1.02
0.06,-0.88,1.03
0.1,-0.82,0.98
0.13,-0.75,0.89
0.15,-0.69,0.74
0.17,-0.68,0.63
0.19,-0.65,0.46
0.21,-0.66,0.42
0.26,-0.69,0.4
0.27,-0.71,0.41
0.28,-0.72,0.48
0.29,-0.71,0.53
0.27,-0.7,0.6
0.25,-0.71,0.63
0.24,-0.73,0.67
0.23,-0.73,0.68
0.21,-0.74,0.66
0.21,-0.75,0.66
0.22,-0.72,0.68
0.22,-0.72,0.69
0.22,-0.74,0.69
0.22,-0.74,0.7
0.22,-0.73,0.69
0.21,-0.75,0.64
0.21,-0.74,0.62
0.2,-0.71,0.6
0.19,-0.71,0.59
0.2,-0.72,0.6
0.2,-0.73,0.6
0.19,-0.72,0.62
0.19,-0.71,0.63
0.18,-0.73,0.63
0.18,-0.74,0.63
0.19,-0.77,0.66
0.19,-0.78,0.68
0.2,-0.78,0.74
0.2,-0.79,0.76
0.19,-0.81,0.79
0.2,-0.82,0.8
0.22,-0.83,0.82
0.21,-0.84,0.8
0.22,-0.84,0.77
0.24,-0.84,0.75
0.2,-0.89,0.71
0.35,-0.88,0.66
0.32,-0.95,0.63
0.33,-0.95,0.63
0.37,-0.95,0.64
0.36,-0.95,0.62
0.32,-0.85,0.65
0.34,-0.84,0.67
0.31,-0.87,0.61
0.29,-0.86,0.54
0.28,-0.84,0.38
0.26,-0.85,0.3
0.23,-0.83,0.21
0.21,-0.79,0.12
0.22,-0.78,0.11
0.25,-0.76,0.11
0.18,-0.77,0.16
0.24,-0.78,0.21
0.24,-0.8,0.22
0.3,-0.83,0.2
0.33,-0.86,0.16
0.3,-0.9,0.08
0.3,-0.86,0.02
0.26,-0.78,-0.07
0.21,-0.77,-0.12
0.14,-0.77,-0.31
0.16,-0.8,-0.36
0.29,-0.83,-0.45
0.39,-0.84,-0.5
0.63,-0.82,-0.68
0.73,-0.84,-0.87
0.81,-0.72,-1.29
0.8,-0.63,-1.56
0.53,-0.45,-1.88
0.44,-0.33,-1.89
0.43,-0.08,-1.45
0.51,0.03,-1.07
0.66,0.2,-0.2
0.89,0.04,0.21
0.29,-1.8,1.34
0.19,-2.28,2.67
0.57,-2.18,4.0
0.92,-2.16,4.0
0.44,-2.23,4.0
-0.15,-1.13,3.5
-0.4,-0.53,2.3
-0.39,0.1,0.69
-0.22,0.09,0.17
0.25,-0.18,-0.51
0.52,-0.33,-0.7
0.88,-0.56,-0.95
0.96,-0.66,-1.05
0.95,-0.76,-1.17
0.9,-0.77,-1.15
0.71,-0.77,-0.97
0.55,-0.78,-0.88
0.29,-0.73,-0.56
